# Matter power spectrum P(k) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053673596371e-05       5.060808105866e+01 
       1.326496466208e-05       6.316248465081e+01 
       1.669960109965e-05       7.883121349293e+01 
       2.102355219117e-05       9.838674596676e+01 
       2.646708409965e-05       1.227931260729e+02 
       3.332008474914e-05       1.532533506945e+02 
       4.194750141383e-05       1.912685543023e+02 
       5.280877549114e-05       2.387115509474e+02 
       6.648230943153e-05       2.979184174557e+02 
       8.369626877812e-05       3.718021526383e+02 
       1.053673596371e-04       4.639932081604e+02 
       1.326496466208e-04       5.790124886435e+02 
       1.669960109965e-04       7.224825092372e+02 
       2.102355219117e-04       9.013818050704e+02 
       2.646708409965e-04       1.124345172810e+03 
       3.332008474914e-04       1.402006613066e+03 
       4.194750141383e-04       1.747370780748e+03 
       5.280877549114e-04       2.176181281044e+03 
       6.648230943153e-04       2.707229324107e+03 
       8.369626877812e-04       3.362512413122e+03 
       1.053673596371e-03       4.167096440251e+03 
       1.326496466208e-03       5.148454460450e+03 
       1.669960109965e-03       6.334887703479e+03 
       2.102355219117e-03       7.753437751700e+03 
       2.646708409965e-03       9.425404176624e+03 
       3.332008474914e-03       1.135984080357e+04 
       4.194750141383e-03       1.354451898593e+04 
       5.280877549114e-03       1.593443001160e+04 
       6.648230943153e-03       1.843710022862e+04 
       8.369626877812e-03       2.089791381735e+04 
       1.053673596371e-02       2.308854695647e+04 
       1.326496466208e-02       2.468819639645e+04 
       1.669960109962e-02       2.530915807753e+04 
       2.102355202030e-02       2.456742075421e+04 
       2.646695467386e-02       2.228406076253e+04 
       3.330224374738e-02       1.880394486231e+04 
       4.135596320779e-02       1.531735946924e+04 
       4.814365073042e-02       1.331302244794e+04 
       5.306670472349e-02       1.232122672712e+04 
       5.712683115337e-02       1.169862550633e+04 
       6.075211323596e-02       1.122636169452e+04 
       6.413338979608e-02       1.081288999073e+04 
       6.737167045857e-02       1.041218520799e+04 
       7.052752172046e-02       9.999676712647e+03 
       7.364072767811e-02       9.563656899879e+03 
       7.673932683540e-02       9.101191288584e+03 
       7.984423803672e-02       8.615994947809e+03 
       8.297183101645e-02       8.116763584277e+03 
       8.613544956543e-02       7.615406018689e+03 
       8.934636171780e-02       7.125585534805e+03 
       9.261437787379e-02       6.661003263094e+03 
       9.594826703267e-02       6.233859773435e+03 
       9.935604519347e-02       5.853506077074e+03 
       1.028451799312e-01       5.525459153267e+03 
       1.064227382963e-01       5.250952663981e+03 
       1.100954953450e-01       5.026461703319e+03 
       1.138700146629e-01       4.844005500218e+03 
       1.177527085547e-01       4.691655224178e+03 
       1.217498832190e-01       4.554512803604e+03 
       1.258677727047e-01       4.416643345356e+03 
       1.301125644413e-01       4.263458330960e+03 
       1.344904184695e-01       4.084566660092e+03 
       1.390074820529e-01       3.876351168123e+03 
       1.436699010599e-01       3.643084982345e+03 
       1.484838293072e-01       3.396212911086e+03 
       1.534554369336e-01       3.151715790429e+03 
       1.585909187897e-01       2.926075325511e+03 
       1.638965037813e-01       2.732211541147e+03 
       1.693784660713e-01       2.576185341687e+03 
       1.750431390264e-01       2.455730717591e+03 
       1.808969327795e-01       2.360679831177e+03 
       1.869463562733e-01       2.276258961335e+03 
       1.931980446425e-01       2.185997957218e+03 
       1.996587927967e-01       2.077833584582e+03 
       2.063355960823e-01       1.950298135385e+03 
       2.132356989277e-01       1.812034105797e+03 
       2.203666524431e-01       1.677284961557e+03 
       2.277363820377e-01       1.559296430977e+03 
       2.353532662697e-01       1.464583684462e+03 
       2.432262283630e-01       1.390634244602e+03 
       2.513648421297e-01       1.327467936461e+03 
       2.597794544632e-01       1.262800346776e+03 
       2.684813271321e-01       1.188947051970e+03 
       2.774828013683e-01       1.107353196354e+03 
       2.867974897405e-01       1.026886356545e+03 
       2.964405011404e-01       9.567267122262e+02 
       3.064287064602e-01       8.996012213374e+02 
       3.167810548881e-01       8.505661947490e+02 
       3.275189538917e-01       8.018435676514e+02 
       3.386667302257e-01       7.494852586917e+02 
       3.502521951526e-01       6.961631639449e+02 
       3.623073452076e-01       6.474751486840e+02 
