# Matter power spectrum P(k) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053673596371e-05       5.060423363986e+01 
       1.326496466208e-05       6.315768672295e+01 
       1.669960109965e-05       7.882523310189e+01 
       2.102355219117e-05       9.837929737812e+01 
       2.646708409965e-05       1.227838601033e+02 
       3.332008474914e-05       1.532418462377e+02 
       4.194750141383e-05       1.912543148481e+02 
       5.280877549114e-05       2.386940142592e+02 
       6.648230943153e-05       2.978969953011e+02 
       8.369626877812e-05       3.717763348893e+02 
       1.053673596371e-04       4.639627998807e+02 
       1.326496466208e-04       5.789781159705e+02 
       1.669960109965e-04       7.224466598196e+02 
       2.102355219117e-04       9.013509163582e+02 
       2.646708409965e-04       1.124333740900e+03 
       3.332008474914e-04       1.402045111776e+03 
       4.194750141383e-04       1.747520526249e+03 
       5.280877549114e-04       2.176561277941e+03 
       6.648230943153e-04       2.708061894162e+03 
       8.369626877812e-04       3.364193311934e+03 
       1.053673596371e-03       4.170284988137e+03 
       1.326496466208e-03       5.154154423067e+03 
       1.669960109965e-03       6.344470826499e+03 
       2.102355219117e-03       7.768632924609e+03 
       2.646708409965e-03       9.448432381120e+03 
       3.332008474914e-03       1.139368481993e+04 
       4.194750141383e-03       1.359300481088e+04 
       5.280877549114e-03       1.600169306812e+04 
       6.648230943153e-03       1.852778154759e+04 
       8.369626877812e-03       2.101513215878e+04 
       1.053673596371e-02       2.323147095933e+04 
       1.326496466208e-02       2.485692238547e+04 
       1.669960109962e-02       2.549548581568e+04 
       2.102355202030e-02       2.475907323646e+04 
       2.646695467386e-02       2.246569186118e+04 
       3.330224374738e-02       1.896219199602e+04 
       4.135596320779e-02       1.544909723644e+04 
       4.814365073042e-02       1.342883867836e+04 
       5.306670472349e-02       1.242905817004e+04 
       5.712683115337e-02       1.180141205826e+04 
       6.075211323596e-02       1.132528771403e+04 
       6.413338979608e-02       1.090839588268e+04 
       6.737167045857e-02       1.050433090329e+04 
       7.052752172046e-02       1.008831903521e+04 
       7.364072767811e-02       9.648557624042e+03 
       7.673932683540e-02       9.182090824312e+03 
       7.984423803672e-02       8.692669994100e+03 
       8.297183101645e-02       8.189071241314e+03 
       8.613544956543e-02       7.683311946225e+03 
       8.934636171780e-02       7.189179053329e+03 
       9.261437787379e-02       6.720497941695e+03 
       9.594826703267e-02       6.289580479046e+03 
       9.935604519347e-02       5.905862766130e+03 
       1.028451799312e-01       5.574912892097e+03 
       1.064227382963e-01       5.297977316285e+03 
       1.100954953450e-01       5.071500598103e+03 
       1.138700146629e-01       4.887431859091e+03 
       1.177527085547e-01       4.733735878065e+03 
       1.217498832190e-01       4.595381710232e+03 
       1.258677727047e-01       4.456291791000e+03 
       1.301125644413e-01       4.301746647405e+03 
       1.344904184695e-01       4.121261933196e+03 
       1.390074820529e-01       3.911187912703e+03 
       1.436699010599e-01       3.675836011368e+03 
       1.484838293072e-01       3.426753873228e+03 
       1.534554369336e-01       3.180066176093e+03 
       1.585909187897e-01       2.952403081064e+03 
       1.638965037813e-01       2.756801169941e+03 
       1.693784660713e-01       2.599376236361e+03 
       1.750431390264e-01       2.477842201950e+03 
